cal_sbid,sbid,field
82224,82217,VAST_1147+06
82224,82218,VAST_1237+06
82224,82219,VAST_1302+06
82224,82220,VAST_1326+06
82224,82221,VAST_1323-43
82272,82273,VAST_1117-31
82272,82274,VAST_1212+06
82298,82299,VAST_1645-06
82333,82334,VAST_1049-31
82333,82335,VAST_1145-31
82333,82336,VAST_1214-31
82333,82337,VAST_1215-37
82333,82338,VAST_1212+00
82341,82342,VAST_1555-06
82380,82381,VAST_1242-31
82380,82382,VAST_1245-37
82380,82383,VAST_1302+00
82380,82384,VAST_1555+06
82380,82385,VAST_1555+00
82410,82411,VAST_1141-50
82410,82412,VAST_1147+00
82410,82413,VAST_1351+06
82416,82417,VAST_1620+00
82476,82477,VAST_1351+00
82476,82478,VAST_1416+06
82476,82479,VAST_1338-31
82476,82480,VAST_1441-06
82476,82481,VAST_1620+06
82476,82482,VAST_1620-06
82476,82483,VAST_1416+00
82476,82484,VAST_1441+06
82535,82536,VAST_0804+06
82541,82542,VAST_1147-06
82541,82543,VAST_1218-50
82574,82575,VAST_1237-06
82574,82576,VAST_1310-31
82574,82577,VAST_1326+00
82597,82598,VAST_1212-06
82614,82615,VAST_0600-06
82620,82621,VAST_1122+06
82620,82622,VAST_1216-43
82620,82623,VAST_1250-43
82702,82703,VAST_0354-43
82731,82732,VAST_1800-06
82767,82768,VAST_0306+06
82767,82769,VAST_0352-56
82767,82770,VAST_0405-37
82767,82771,VAST_0414-31
82767,82772,VAST_0435-37
82783,82784,VAST_0241+00
82783,82785,VAST_0306-06
82783,82786,VAST_0420+06
82783,82787,VAST_0420+00
82783,82789,VAST_0506-37
82783,82790,VAST_0445-06
82805,82806,VAST_0317-31
82805,82807,VAST_0331-06
82805,82808,VAST_0355+00
82805,82809,VAST_0418-50
82805,82810,VAST_0427-43
82805,82811,VAST_0435-56
82805,82812,VAST_0501-43
82805,82813,VAST_0517-56
82828,82829,VAST_0455-50
82828,82830,VAST_0537-37
83132,83133,VAST_1057+06
83132,83134,VAST_1114-37
83132,83135,VAST_1144-37
83132,83136,VAST_1255-50
83132,83137,VAST_1316-37
83132,83138,VAST_1441+00
83132,83140,VAST_1506+06
83132,83141,VAST_1506+00
83132,83142,VAST_1351-06
83132,83143,VAST_1416-06
83132,83144,VAST_1506-06
83132,83145,VAST_1645+00
83132,83146,VAST_1710+06
83132,83151,VAST_1800+00
83132,83152,VAST_1914-06
83132,83153,VAST_1939+00
83132,83154,VAST_2042-31
83132,83155,VAST_2053+06
83132,83156,VAST_2053+00
83132,83157,VAST_2126-37
83132,83160,VAST_2208+06
